VCASN: 69 ITHR: 51
24 630 169.60 8.16 27.32
24 664 170.43 11.69 27.80
24 717 204.90 8.29 27.68
24 789 183.45 12.39 27.56
24 818 148.91 8.43 27.36
24 895 179.40 9.17 27.40
24 932 169.53 8.18 27.54
24 938 173.51 7.66 27.69
24 947 179.18 8.58 27.80
24 974 183.31 8.87 27.51
24 991 178.62 4.62 27.47
25 52 161.16 9.78 27.63
25 189 130.49 8.73 27.36
25 208 171.42 8.09 27.62
25 307 158.15 8.55 27.63
25 317 192.77 10.82 27.43
25 335 185.84 10.74 28.47
25 393 198.67 11.36 27.44
25 423 175.29 8.14 27.58
25 447 159.35 7.13 27.37
25 473 154.53 10.07 27.33
25 480 167.72 7.79 27.51
25 538 168.59 9.60 27.41
25 553 189.28 9.65 27.53
25 569 189.74 10.29 27.65
25 634 197.38 10.37 27.54
25 670 143.14 10.31 27.39
25 697 206.11 11.40 27.71
25 719 172.20 9.17 27.74
25 729 187.70 9.51 27.42
25 777 190.67 11.01 27.33
25 825 170.66 9.31 27.55
25 835 169.18 9.79 27.38
25 854 188.43 5.50 27.31
25 859 166.60 11.87 27.52
25 872 195.96 8.30 27.59
25 935 174.78 10.86 27.52
25 939 184.63 8.03 27.36
25 970 174.95 11.47 27.63
25 982 169.69 9.15 27.38
25 986 190.50 7.60 27.42
25 1014 156.34 9.46 27.59
26 5 176.70 7.95 27.34
26 7 184.29 8.49 27.64
26 17 204.38 9.64 27.71
26 28 165.91 10.52 27.46
26 73 174.19 10.29 27.44
26 122 189.58 9.32 27.48
26 152 140.28 11.20 27.49
26 191 179.61 8.62 27.33
26 268 165.73 10.13 28.09
26 274 157.89 8.35 27.37
26 310 177.81 10.48 27.48
26 311 118.04 10.82 27.66
26 343 194.17 10.40 27.62
26 377 184.13 11.54 27.62
26 385 175.13 12.26 0.10
26 387 184.65 9.91 27.80
26 432 172.34 11.22 27.66
26 465 182.94 9.07 27.37
26 467 169.84 12.05 27.49
26 519 176.58 10.68 27.36
26 546 193.38 8.38 27.39
26 623 197.04 8.58 27.55
26 631 209.46 7.13 27.58
26 635 174.85 7.81 27.37
26 660 196.07 12.28 27.64
26 704 166.62 9.31 27.96
26 763 160.36 8.11 27.39
26 781 188.51 10.59 27.49
26 858 176.76 8.16 27.32
26 895 152.22 8.57 28.31
26 919 190.97 9.49 27.94
26 945 182.48 10.95 27.55
26 946 193.22 10.45 27.93
26 1015 189.80 9.27 27.62
27 2 172.30 8.26 27.38
27 24 127.61 8.62 27.87
27 99 178.37 7.62 27.66
27 100 189.27 10.28 27.94
27 101 179.63 10.00 28.09
27 158 178.59 11.90 27.43
27 168 191.97 11.02 28.07
27 172 159.74 6.68 27.47
27 180 178.42 9.86 27.51
27 231 188.38 10.40 27.83
27 243 198.53 9.63 27.53
27 313 202.07 8.08 27.47
27 315 179.53 9.22 27.49
27 401 166.61 7.94 27.44
27 410 153.97 10.19 27.47
27 431 181.79 12.58 27.41
27 520 166.19 8.86 27.43
27 529 163.17 8.39 27.52
27 583 160.16 10.84 27.78
27 590 147.60 11.36 27.79
27 665 169.30 11.87 28.13
